"indicateur","villes","type","statut","Unit","Date","Value"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","TSÉVIÉ","Total","Prive","Nombre","2018","1"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","AFANGNAN","Université","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","AFANGNAN","Université","Prive","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","AFANGNAN","Etablissement","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","AFANGNAN","Etablissement","Prive","Nombre","2018","1"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","AFANGNAN","Total","Public","Nombre","2018","1"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","AFANGNAN","Total","Prive","Nombre","2018","1"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","TOTAL","Université","Public","Nombre","2018","2"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","TOTAL","Université","Prive","Nombre","2018","2"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","TOTAL","Etablissement","Public","Nombre","2018","4"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","TOTAL","Etablissement","Prive","Nombre","2018","14"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","TOTAL","Total","Public","Nombre","2018","79"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","TOTAL","Total","Prive","Nombre","2018","83"
