FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc5,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Centre de Formation Technique de Sotouboua Comienas,BP 69 Sotouboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1994,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (0.9911255492519939 8.554312795157191)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc6,Centrale,Tchamba,Tchamba 1,Tchamba,Kitom,Complexe Scolaire Informatique et Technique Ya Salam,"Complexe Scolaire Info-Tech Ya Salam, Tchamba","{Lundi,jeudi,Mardi,Mercredi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},CAP,"{Latrines a eau,Douches}",Non,POINT (1.4212318420319956 9.016451984830447)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc7,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Tellessou,Complexe Scolaire les Sages Lycée Technique,13 BP123,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2014,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1715484473285294 6.2258597326147616)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc8,Plateaux,Kloto,Kloto 3,Kouma,Dunyo,CRASE de Kuma-Dunyo,BP 234 Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1978,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (0.5921441455391109 6.980541988611658)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc9,Centrale,Tchamba,Tchamba 1,Tchamba,Medina,Centre de Formation Technique et Professionnelle de Tchamba,"Centre de Formation Technique et Professionnelle de Tchamba, Tchamba","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau,Douches}",Oui,POINT (1.4159050000000002 9.002595000000001)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fca,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adetikope Centre,Institut de Formation HTIB Atlantis,"Institut de Formation Htib Atlantis, Adetikope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Inacheve},CAP,{WCs},Non,POINT (1.222898393633333 6.321332746484188)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fcb,Centrale,Blitta,Blitta 1,Blitta,Dépôt,Institut de Technologie et de la Formation Professionnelle de Blitta (Itfp-Blitta),BP 18 Blitta,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2013,Prive - individuel,{Construit et Utilise},CAP,"{WCs,Douches}",Non,POINT (0.982862014465271 8.327344265152531)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fcc,Centrale,Blitta,Blitta 1,Blitta,Hezouda,Centre de Formation Technique et Professionnelle de Blitta,"Cftp, Blitta Gare","{Lundi,Mardi,jeudi,Mercredi,Vendredi}",2020,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,"{Latrines seches,WCs}",Non,POINT (0.9906897213895501 8.315479796823015)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fcd,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,Kpangalam,Institut Technique Sainte Josephine Bakhita Lycée Technique,300 BP 62 - Sokodé,"{Vendredi,jeudi,Mercredi,Lundi,Mardi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.1296782871585234 9.009258441701826)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fce,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Complexe Scolaire le Cerveau Lycée Technique,"Cs Le Cerveau Lycee Technique, Vakpossito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{Latrines seches,Pissotieres}",Non,POINT (1.1553483333333328 6.22104856719269)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fcf,Maritime,Golfe,Golfe 5,Aflao-Gakli,Amadahome,Complexe Scolaire Anne et Albert Lycée Technique,"Lycee Technique Anne et Albert, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.161277941538585 6.207451714315899)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd0,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adetikope,Institut Polytechnique Akakpo Ayefounin,"Institut Polytechnique Akakpo Ayefounin, Adetikope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Inacheve},CAP,{WCs},Oui,POINT (1.243673230391456 6.31281764932409)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd1,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Minamadou,Institut Technique la Colombe de Dieu,"Institut Technique la Colombe de Dieu, Agoe-Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1996,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1944676102948641 6.2250256237700325)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd2,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble,Complexe Scolaire Evolution Lycée,"Cs Evolution Lycee, Togblekope","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Pissotieres},Non,POINT (1.2215240817411939 6.262172734933698)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd3,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Lome Agoenyieve Zilidji,Complexe Scolaire Lallire Dorkenoo College Technique,"Cspl de Lallire Dorkenoo Lycee Technique, Agoenyieve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1988948017629375 6.257831682593802)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd4,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cleve,Institut Technique la Source,"Institut Tchnique La Source, Agoe Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Prive - individuel,Nsp,Nsp,{WCs},Oui,POINT (1.1976470554450809 6.224360906279641)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd5,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedo,Institut Technique le Heros,"Institut Technique le Heros, Aflao_Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1955282899691908 6.186114101264609)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd6,Maritime,Golfe,Golfe 6,Baguida,Kpogan Azitigome,Institut d'Education Saint Esprit de Kpogan Lycée,"Cs Saint Esprit de Kpogan Lycee, Baguida","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2014,Prive - individuel,{Construit et Utilise},Nsp,Nsp,Non,POINT (1.3781616666666667 6.188823333333334)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd7,Maritime,Golfe,Golfe 6,Baguida,Baguida/yovokome,Institut Martessi Lycée Technique,"Lycee Technique Institut Martessi, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.3304078536572177 6.169472405522721)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Lycée d'Enseignement Technique Jumau ITA,"Lycee Iet Jumau Ita, Aflao Gakl","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.190318134070243 6.1923923558781455)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fd9,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Institut Technique El-Rohi,"Institut Technique El-Rohi, Agoe-Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2007,Nsp,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1939481077022156 6.217842822275929)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fda,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togblekope Atchanve,Complexe Scolaire Prestige Esso Lycée,"Cs Prestige Lycee, Togblekope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - individuel,"{Inacheve,En construction}",Formation Professionnelle autre,Nsp,Non,POINT (1.2098193468311587 6.279125715716909)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fdb,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Zongo,Complexe Scolaire le Bon Samaritain Lycée Technique,"Lycee Technique Le Bon Samaritain, Togblekope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.19885286686416 6.268504811626918)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fdc,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Zongo,Complexe Scolaire Ipr Az Haz Nour Lycée Technique,"Lycee Technique Ipr Az Haz Nour, Togblekope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,Nsp,Formation Professionnelle autre,Nsp,Non,POINT (1.189309787384173 6.2671087188507055)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fdd,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Atsanve,institut Polyvalent Laïc le Prestige du Savoir Lycée,"IPL le Prestige du Savoir Lycee, Agoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Nsp,{En construction},CAP,"{WCs,Pissotieres}",Non,POINT (1.213021995541966 6.226906368162294)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fde,Maritime,Golfe,Golfe 1,Bè-Est,Gbenyedji,Complexe Scolaire BG Poussinets,"Institut Technique Bg Poussinets, gbenyedji","{Lundi,Mercredi,Mardi,jeudi,Vendredi}",2014,Prive - individuel,{Construit et Utilise},Formation profesionnelle autre,{Latrines a eau},Non,POINT (1.2553756290276121 6.147460135434001)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fdf,Maritime,Golfe,Golfe 1,Bè-Est,Gbenyedji,Complexe Scolaire BG Poussinets,"Institut Technique Bg Poussinets, Be","{Lundi,Mercredi,Mardi,jeudi,Vendredi}",2014,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2553974000000003 6.147201309317102)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe0,Maritime,Golfe,Golfe 6,Baguida,Adamavo,Institut Technique et Professionnel la Vision,"Itp La Vision, Baguida","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2019,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.309138761699091 6.166778086422363)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe1,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Yokoe Agblegan,Institut Prince Bedy,"Institut Prince Bedy, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1997,Prive - individuel,{En construction},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1565100000000008 6.181451666666667)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe2,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Complexe Scolaire Privé Payarama Lycée Technique,"Csp Payarama Lycee Technique, Agoenyieve 1","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},Nsp,{Latrines a eau},Oui,POINT (1.196181696098755 6.246787677180356)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe3,Maritime,Golfe,Golfe 1,Bè-Est,Gbenyedzi,Complexe Scolaire Item Lycée Technique,"Lycee Technique Item, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1992,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2520536847565191 6.147534894823467)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe4,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,Collège Technique Commercial Les Elephanteaux,2489,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1995,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.1869388891621009 6.208906727180581)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe5,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Institut Technique Vic Intelligentia,"Cs Vic Intelligentia, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.3467259632773299 6.1703258741547256)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe6,Maritime,Golfe,Golfe 6,Baguida,Olibokope,Complexe Scolaire la Puissance de Dieu Lycée Technique,"Lycee Technique Cs La Puissance de Dieu, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,"{En construction,Construit et Utilise}",Formation Professionnelle autre,Nsp,Non,POINT (1.349396392935005 6.185142197085515)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe7,Maritime,Golfe,Golfe 1,Bè-Est,Bekpota,Complexe Scolaire le Savoir Lycée Technique,01 BP 750,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.264609975669082 6.15989403034563)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe8,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zopomahe,Institut Technique et Professionnel Ebenezer Le Grand Lycée,"Itm Ebenezer le Grand Lycee, Sanguera","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1373864052688005 6.228697283825817)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fe9,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Institut Polytechnique la Paix,BP 10085,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.1993083633749195 6.220751618506628)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fea,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Anome,GS Rm Annexe Lycée Technique,BP 12051,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.187637595574649 6.209155407150044)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7feb,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assiyeye,Institut Polytechnique la Grace de Dieu,"IP La Grace de Diei, Agoe-Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2004,Nsp,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1981151847958773 6.2307329501557)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fec,Maritime,Golfe,Golfe 1,Bè-Est,Lome Kagnikope,Complexe Scolaire Baptiste de Kagnikope Lycée Technique,09 BP9034 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2953909502047685 6.172786419363798)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fed,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Akato,Complexe Scolaire Nouvelle Ecole des Elites Amewouho Lycée,"Cs Nouvelle Ecole des Elites Amewouho Lycée, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.0998144912944319 6.1882902884732784)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fee,Maritime,Golfe,Golfe 4,Amoutivé,Adawalato,College Notre Dame du Sacré Coeur Lycée Technique,BP 511,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,autre,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Douches}",Oui,POINT (1.2298486720172994 6.127274311070356)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fef,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Kohe,Complexe Scolaire le Savoir de Kohe Lycée,"Cs Le Savoir de Kohe Lycee, Sanguera","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.142964015702884 6.221895984191705)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff0,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoe,Institut Polytechnique de Batiment et des Travaux Publics(IPBTP),BP 60625,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{En construction},Formation Professionnelle autre,{WCs},Non,POINT (1.2096916666666666 6.134446666666665)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff1,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Segbe-douane,Institut Technique Saint Joseph de Segbe,01 BP 227,"{Mardi,Mercredi,Lundi,jeudi,Vendredi}",2019,Prive - individuel,{En construction},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1130524321381419 6.194329723632431)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff2,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame,Institut Technique et Commercial La Mémoire,"Lycee Technique La Memoire, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2004,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2626529980653591 6.143974660681774)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff3,Maritime,Golfe,Golfe 2,Bè-Centre,Novissi,Institut Technique Nouvelle Generation,"Boulevard Jean Paul ll, Novissi","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.2346699398124126 6.1730909596977455)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff4,Maritime,Golfe,Golfe 3,Bè-Ouest,Dogbeavou,Institut Technique Notre Dame de l'Eglise (INTDE),BP 8019,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1971,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.210534431666232 6.1493679752377695)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff5,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Ablogome,Complexe Scolaire la Maitrise Lycée Technique,BP 3618,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1998,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1601616568998387 6.185269816616314)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff6,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin Hôpital,Institut d'Enseignement Technique et Informatique (ISETI),"(ESETI) Institut de L'Enseignement Technique et Imformatique, Amoutieve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.2112823610344698 6.1403108717958865)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff7,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Institut Technique Amitié Concorde,BP 8292,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1401726536120638 6.194521016266845)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff8,Kara,Kozah,Kozah 1,Commune De Kara,Kara Sud,Ecole Hotel Alcor Mira,"Alcor Mira, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2013,Nsp,{Construit et Utilise},CAP,{Latrines a eau},Non,POINT (1.1954648745818757 9.540136203731798)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ff9,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin N'tifafa Kome,Institut Technique Saint Joseph de Lome,"Institut Technique Saint Joseph de Lome, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,autre,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.2325827558770828 6.148214322915355)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ffa,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kove,institut Polyvalent Laïc les Dinosaures Annexe,"IPL les Dinosaures Annexe, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1652695258682921 6.24392429062836)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ffb,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zopomahe,Institut Technique Privee Laique les Victorieux,23 BP 123 - Lomé,"{jeudi,Vendredi,Samedi,Dimanche,Mercredi,Mardi,Lundi}",2014,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1321273746394713 6.233744141874236)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ffc,Maritime,Golfe,Golfe 1,Bè-Est,Kegue,Institut Technique Dino Golo,BP 10295,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Pissotieres}",Non,POINT (1.2379210055906513 6.208446348535124)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ffd,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado Agotime,Institut Technique le Semeur Divin Sagbado,"Formation Technique le Semeur Divin Sagbado, Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1362561265871585 6.1800796863949286)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7ffe,Maritime,Golfe,Golfe 1,Bè-Est,Kanyikope,College Technique le Revelateur des Talents Lycée,BP 2928,"{Lundi,Mardi,Mercredi,jeudi}",2006,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2962235827782578 6.164833353509746)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-8000,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Atikankope,Complexe Scolaire les Lumieres,"Cs Les Lumieres, Sanguera","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Nsp,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1232316593856786 6.229757385123483)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fff,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbossito,Lycée Technique La Clemence Divine,"Glycee Technique la Clemence Divine, Agoe Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.178882862508754 6.2416004925752)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ffe,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Apedokoe,Institut Polytechnique du Golfe,"Institut Polytechnique du Golfe, Aflao Sagbado","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1456253763531616 6.202656359808167)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ffd,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranavoe,Institut Technique le Reveil D'Or,"Institut Technique le Reveil D'Or, Amoutieve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.2475486405888374 6.198307627343856)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ffc,Maritime,Golfe,Golfe 3,Bè-Ouest,Lome Forever,Centre de Formation Professionnelle Hotelière Ancilla,555 avenue des kondona,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,autre,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau,Douches}",Non,POINT (1.2309247104495866 6.161124128853013)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ffb,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,IETFPg la Plenitude Lycée,11 BP 238,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2564230133171577 6.159679000120811)
