FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f97,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Tame,College Technique la Revelation,"College Technique la Revelation, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Prive - individuel,{Construit et Utilise},CAP,{WCs},Oui,POINT (1.2282113680482571 6.162390547563502)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f98,Maritime,Golfe,Golfe 1,Bè-Est,Be,Complexe Polytechnique Ora et Labora,04 BP 6195,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1970,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2391460627816566 6.140234488572422)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f99,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Logope,Complexe Scolaire Privé La Fabienne,"Institut Technique la Fabienne 1, Agoe Nyive 1","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1810909537066794 6.2252055564781426)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f9a,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchawanda,Ecole des Micro Entrepreneur du Centre,BP 159,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2004,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1335013018727313 8.983420496556782)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f9b,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adida,"Ecole Polytechnique d'Informatique, d'Électronique et de Gestion d'Adetikope","Ecole Polytechnique D'In Formatique d'Électronique et de Gestion, Adetikope","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,Prive - individuel,{autre},Nsp,Nsp,Non,POINT (1.2242933333333332 6.331918333333334)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f9c,Maritime,Golfe,Golfe 1,Bè-Est,Anfame,"Ecole Polytechnique d'Informatique, d'Electronique et de Gestion d'Afname",BP 10210 Lomé Aviation,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1998,Nsp,{Construit et Utilise},Formation Professionnelle autre,"{Douches,WCs}",Non,POINT (1.2743146965798373 6.165275461510318)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f9d,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope,Ecole Technique de Formation Professionnelle La Volonte,"Lycee Technique La Volonte, Adetikope","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,Ne sait pas,{Ferme},Nsp,Nsp,Nsp,POINT (1.2285488109494496 6.3269284484874735)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f9e,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame Danwipé,Groupe Scolaire Les Cours Millenaires de l'Afrique de L'Ouest (GS-CMAO),"Groupe Scolaire les Cours_Millenaires de L'Ouest, Be","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",2019,Prive - individuel,{Ferme},N/a,Nsp,Non,POINT (1.2861360685147563 6.169487217344224)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f9f,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Institut Bilingue Libre du Togo,"Institut Bilingue Libre du Togo, Baguida","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (1.3527768244611604 6.174584699262539)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa0,Maritime,Golfe,Golfe 6,Baguida,Kpogan,Institut d'Enseignement General et Technique Sainte Catherine,12 BP294,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2009,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.3774902351322336 6.186194391087172)
